weight,fighter1,fighter2,method,round_end,time,date,event
"Welterweight
","Vik Grujic
","Chris Indich
","TKO (punches)
","1
","4:55
","Jun 28, 2014",UFC Fight Night: Te Huna vs. Marquardt
"Welterweight
","Neil Magny
","Rodrigo de Lima
","TKO (punches)
","2
","2:32
","Jun 28, 2014",UFC Fight Night: Te Huna vs. Marquardt
"Featherweight
","Dan Hooker
","Ian Entwistle
","TKO (elbows)
","1
","3:34
","Jun 28, 2014",UFC Fight Night: Te Huna vs. Marquardt
"Light Heavyweight
","Gian Villante
","Sean O'Connell
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Jun 28, 2014",UFC Fight Night: Te Huna vs. Marquardt
"Flyweight
","Demetrious Johnson (c)
","Ali Bagautinov
","Decision (unanimous) (50–45, 50–45, 50–45)
","5
","5:00
","Jun 14, 2014",UFC 174
"Welterweight
","Rory MacDonald
","Tyron Woodley
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Jun 14, 2014",UFC 174
"Light Heavyweight
","Ryan Bader
","Rafael Cavalcante
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Jun 14, 2014",UFC 174
"Heavyweight
","Andrei Arlovski
","Brendan Schaub
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Jun 14, 2014",UFC 174
"Light Heavyweight
","Ovince Saint Preux
","Ryan Jimmo
","Verbal Submission (arm injury)
","2
","2:10
","Jun 14, 2014",UFC 174
"Welterweight
","Kiichi Kunimoto
","Daniel Sarafian
","Submission (rear-naked choke)
","1
","2:52
","Jun 14, 2014",UFC 174
"Women's Bantamweight
","Valérie Létourneau
","Elizabeth Phillips
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Jun 14, 2014",UFC 174
"Bantamweight
","Yves Jabouin
","Mike Easton
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Jun 14, 2014",UFC 174
"Lightweight
","Tae Hyun Bang
","Kajan Johnson
","KO (punch)
","3
","2:01
","Jun 14, 2014",UFC 174
"Bantamweight
","Michinori Tanaka
","Roland Delorme
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Jun 14, 2014",UFC 174
"Lightweight
","Jason Saggo
","Josh Shockley
","TKO (punches)
","1
","4:57
","Jun 14, 2014",UFC 174
"Lightweight
","Benson Henderson
","Rustam Khabilov
","Submission (rear-naked choke)
","4
","1:16
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Lightweight
","Diego Sanchez
","Ross Pearson
","Decision (split)  (27–30, 30–27, 29–28)
","3
","5:00
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Flyweight
","John Dodson
","John Moraga
","TKO (doctor stoppage)
","2
","5:00
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Lightweight
","Rafael dos Anjos
","Jason High
","TKO (punches)
","2
","3:36
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Lightweight
","Piotr Hallmann
","Yves Edwards
","Submission (rear-naked choke)
","3
","2:31
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Bantamweight
","Bryan Caraway
","Érik Pérez
","Submission (rear-naked choke)
","2
","1:52
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Bantamweight
","Sergio Pettis
","Yaotzin Meza
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Welterweight
","Lance Benoist
","Bobby Voelker
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Flyweight
","Scott Jorgensen
","Danny Martinez
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Lightweight
","Jon Tuck
","Jake Lindsey
","Submission (heel strikes to the body)
","3
","2:47
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Light Heavyweight
","Patrick Cummins
","Roger Narvaez
","TKO (punches)
","2
","2:28
","Jun 7, 2014",UFC Fight Night: Henderson vs. Khabilov
"Heavyweight
","Stipe Miocic
","Fábio Maldonado
","TKO (punches)
","1
","0:35
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Heavyweight
","Antônio Carlos Júnior
","Vitor Miranda
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Middleweight
","Warlley Alves
","Márcio Alexandre Jr.
","Technical Submission (guillotine choke)
","3
","0:25
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Welterweight
","Demian Maia
","Alexander Yakovlev
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Featherweight
","Robbie Peralta
","Rony Jason
","Decision (split) (29–28, 27–30, 30–27)
","3
","5:00
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Lightweight
","Rashid Magomedov
","Rodrigo Damm
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Lightweight
","Elias Silverio
","Ernest Chavez
","Submission (rear-naked choke)
","3
","4:21
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Welterweight
","Gasan Umalatov
","Paulo Thiago
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Featherweight
","Kevin Souza
","Mark Eddiva
","TKO (punches)
","2
","4:52
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Middleweight
","Ricardo Abreu
","Wagner Silva
","Submission (rear-naked choke)
","2
","1:06
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Heavyweight
","Marcos Rogério de Lima
","Richardson Moreira
","KO (punches)
","1
","0:20
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Bantamweight
","Pedro Munhoz
","Matt Hobar
","TKO (punches)
","1
","2:47
","May 31, 2014",The Ultimate Fighter: Brazil 3#The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado
"Middleweight
","Gegard Mousasi
","Mark Muñoz
","Submission (rear-naked choke)
","1
","3:57
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Middleweight
","C.B. Dollaway
","Francis Carmont
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Middleweight
","Sean Strickland
","Luke Barnatt
","Decision (split) (28–29, 30–27, 29–28)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Featherweight
","Niklas Bäckström
","Tom Niinimäki
","Submission (rear-naked choke)
","1
","4:15
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Lightweight
","Nick Hein
","Drew Dober
","Decision (unanimous) (29–28, 30–27, 29–28)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Middleweight
","Magnus Cedenblad
","Krzysztof Jotko
","Submission (guillotine choke)
","2
","4:59
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Bantamweight
","Iuri Alcântara
","Vaughan Lee
","TKO (punches)
","1
","0:25
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Welterweight
","Peter Sobotta
","Pawel Pawlak
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Featherweight
","Maximo Blanco
","Andy Ogle
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Heavyweight
","Ruslan Magomedov
","Viktor Pešta
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","May 31, 2014",UFC Fight Night: Munoz vs. Mousasi
"Bantamweight
","T.J. Dillashaw
","Renan Barão (c)
","TKO (head kick and punches)
","5
","2:26
","May 24, 2014",UFC 173
"Light Heavyweight
","Daniel Cormier
","Dan Henderson
","Technical Submission (rear-naked choke)
","3
","3:53
","May 24, 2014",UFC 173
"Welterweight
","Robbie Lawler
","Jake Ellenberger
","TKO (knee and punches)
","3
","3:06
","May 24, 2014",UFC 173
"Bantamweight
","Takeya Mizugaki
","Francisco Rivera
","Decision (unanimous) (29–28, 30–27, 30–27)
","3
","5:00
","May 24, 2014",UFC 173
"Lightweight
","James Krause
","Jamie Varner
","TKO (ankle injury)
","1
","5:00
","May 24, 2014",UFC 173
"Lightweight
","Michael Chiesa
","Francisco Trinaldo
","Decision (unanimous) (30–26, 30–26, 30–27)
","3
","5:00
","May 24, 2014",UFC 173
"Lightweight
","Tony Ferguson
","Katsunori Kikuno
","TKO (punch)
","1
","4:06
","May 24, 2014",UFC 173
"Bantamweight
","Chris Holdsworth
","Chico Camus
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","May 24, 2014",UFC 173
"Lightweight
","Mitch Clarke
","Al Iaquinta
","Technical Submission (D'Arce choke)
","2
","0:57
","May 24, 2014",UFC 173
"Lightweight
","Vinc Pichel
","Anthony Njokuani
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 24, 2014",UFC 173
"Featherweight
","Sam Sicilia
","Aaron Phillips
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","May 24, 2014",UFC 173
"Welterweight
","Li Jingliang
","David Michaud
","Decision (split) (29–28, 28–29, 30–27)
","3
","5:00
","May 24, 2014",UFC 173
"Welterweight
","Matt Brown
","Erick Silva
","TKO (punches)
","3
","2:11
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Middleweight
","Costas Philippou
","Lorenz Larkin
","KO (punch)
","1
","3:47
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Lightweight
","Daron Cruickshank
","Erik Koch
","TKO (head kick and punches)
","1
","3:21
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Welterweight
","Neil Magny
","Tim Means
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Heavyweight
","Soa Palelei
","Ruan Potts
","KO (punches)
","1
","2:20
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Flyweight
","Chris Cariaso
","Louis Smolka
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Middleweight
","Ed Herman
","Rafael Natal
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Flyweight
","Kyoji Horiguchi
","Darrell Montague
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Welterweight
","Zak Cummings
","Yan Cabral
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Bantamweight
","Johnny Eduardo
","Eddie Wineland
","TKO (punches)
","1
","4:37
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Featherweight
","Nik Lentz
","Manvel Gamburyan
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Lightweight
","Justin Salas
","Ben Wall
","KO (punches)
","1
","2:41
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Welterweight
","Albert Tumenov
","Anthony Lapsley
","KO (punch)
","1
","3:56
","May 10, 2014",UFC Fight Night: Brown vs. Silva
"Light Heavyweight
","Jon Jones (c)
","Glover Teixeira
","Decision (unanimous) (50–45, 50–45, 50–45)
","5
","5:00
","Apr 26, 2014",UFC 172
"Light Heavyweight
","Anthony Johnson
","Phil Davis
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 26, 2014",UFC 172
"Middleweight
","Luke Rockhold
","Tim Boetsch
","Submission (kimura)
","1
","2:08
","Apr 26, 2014",UFC 172
"Lightweight
","Jim Miller
","Yancy Medeiros
","Technical Submission (guillotine choke)
","1
","3:18
","Apr 26, 2014",UFC 172
"Featherweight
","Max Holloway
","Andre Fili
","Submission (guillotine choke)
","3
","3:39
","Apr 26, 2014",UFC 172
"Flyweight
","Joseph Benavidez
","Tim Elliott
","Submission (guillotine choke)
","1
","4:08
","Apr 26, 2014",UFC 172
"Lightweight
","Takanori Gomi
","Isaac Vallie-Flagg
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Apr 26, 2014",UFC 172
"Women's Bantamweight
","Bethe Correia
","Jessamyn Duke
","Decision (unanimous) (30–27, 29–28, 30–27)
","3
","5:00
","Apr 26, 2014",UFC 172
"Lightweight
","Danny Castillo
","Charlie Brenneman
","KO (punch)
","2
","0:21
","Apr 26, 2014",UFC 172
"Bantamweight
","Chris Beal
","Patrick Williams
","KO (flying knee)
","2
","1:51
","Apr 26, 2014",UFC 172
"Heavyweight
","Fabrício Werdum
","Travis Browne
","Decision (unanimous) (49–46, 50–45, 50–45)
","5
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Women's Bantamweight
","Miesha Tate
","Liz Carmouche
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Lightweight
","Donald Cerrone
","Edson Barboza
","Submission (rear-naked choke)
","1
","3:15
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Middleweight
","Yoel Romero
","Brad Tavares
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Lightweight
","Khabib Nurmagomedov
","Rafael dos Anjos
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Welterweight
","Thiago Alves
","Seth Baczynski
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Lightweight
","Jorge Masvidal
","Pat Healy
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Featherweight
","Alex White
","Estevan Payan
","TKO (punches)
","1
","1:28
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Middleweight
","Caio Magalhães
","Luke Zachrich
","TKO (punches)
","1
","0:44
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Welterweight
","Jordan Mein
","Hernani Perpétuo
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Flyweight
","Dustin Ortiz
","Ray Borg
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Featherweight
","Mirsad Bektić
","Chas Skelly
","Decision (majority) (29–27, 29–27, 28–28)
","3
","5:00
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Heavyweight
","Derrick Lewis
","Jack May
","TKO (punches)
","1
","4:23
","Apr 19, 2014",UFC on Fox: Werdum vs. Browne
"Middleweight
","Tim Kennedy
","Michael Bisping
","Decision (unanimous) (49–46, 49–46, 50–45)
","5
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Welterweight
","Patrick Côté
","Kyle Noke
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Middleweight
","Elias Theodorou
","Sheldon Westcott
","TKO (punches and elbows)
","2
","4:41
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Welterweight
","Chad Laprise
","Olivier Aubin-Mercier
","Decision (split) (28–29, 29–28, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Featherweight
","Dustin Poirier
","Akira Corassani
","TKO (punches)
","2
","0:42
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Welterweight
","K.J. Noons
","Sam Stout
","KO (punches)
","1
","0:30
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Women's Bantamweight
","Sarah Kaufman
","Leslie Smith
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Light Heavyweight
","Ryan Jimmo
","Sean O'Connell
","KO (punches)
","1
","4:27
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Bantamweight
","George Roop
","Dustin Kimura
","Decision (unanimous) (29–28, 30–27, 29–26)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Lightweight
","Mark Bocek
","Mike De La Torre
","Decision (split) (28–29, 30–27, 29–28)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Middleweight
","Nordine Taleb
","Vik Grujic
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Welterweight
","Richard Walsh
","Chris Indich
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Bantamweight
","Mitch Gagnon
","Tim Gorman
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 16, 2014",The Ultimate Fighter Nations: Canada vs. Australia#The Ultimate Fighter Nations Finale: Bisping vs. Kennedy
"Heavyweight
","Roy Nelson
","Antônio Rodrigo Nogueira
","KO (punch)
","1
","3:37
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Featherweight
","Clay Guida
","Tatsuya Kawajiri
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Welterweight
","Ryan LaFlare
","John Howard
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Lightweight
","Ramsey Nijem
","Beneil Dariush
","TKO (punches)
","1
","4:20
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Heavyweight
","Jared Rosholt
","Daniel Omielańczuk
","Decision (unanimous) (30–27, 30–26, 30–27)
","3
","5:00
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Middleweight
","Thales Leites
","Trevor Smith
","TKO (punches)
","1
","0:45
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Featherweight
","Jim Alers
","Alan Omer
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Bantamweight
","Rani Yahya
","Johnny Bedford
","No Contest (accidental headbutt)
","1
","0:39
","Apr 11, 2014",UFC Fight Night: Nogueira vs. Nelson
"Light Heavyweight
","Dan Henderson
","Maurício Rua
","TKO (punches)
","3
","3:27
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Middleweight
","C.B. Dollaway
","Cezar Ferreira
","TKO (punches)
","1
","0:39
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Lightweight
","Leonardo Santos
","Norman Parke
","Draw (majority) (29–27, 28–28, 28–28)
","3
","5:00
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Light Heavyweight
","Fábio Maldonado
","Gian Villante
","Decision (unanimous) (29–27, 29–28, 29–28)
","3
","5:00
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Lightweight
","Michel Prazeres
","Mairbek Taisumov
","Decision (unanimous) (30–25, 30–25, 30–25)
","3
","5:00
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Featherweight
","Rony Jason
","Steven Siler
","TKO (punches)
","1
","1:17
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Catchweight (190 lbs)
","Thiago Santos
","Ronny Markes
","TKO (body kick and punches)
","1
","0:53
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Flyweight
","Jussier Formiga
","Scott Jorgensen
","Submission (rear-naked choke)
","1
","3:07
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Welterweight
","Kenny Robertson
","Thiago Perpétuo
","Submission (rear-naked choke)
","1
","1:45
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Light Heavyweight
","Hans Stringer
","Francimar Barroso
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Featherweight
","Godofredo Pepey
","Noad Lahat
","KO (flying knee)
","1
","2:39
","Mar 23, 2014",UFC Fight Night: Shogun vs. Henderson 2
"Welterweight
","Johny Hendricks
","Robbie Lawler
","Decision (unanimous) (48–47, 48–47, 48–47)
","5
","5:00
","Mar 15, 2014",UFC 171
"Welterweight
","Tyron Woodley
","Carlos Condit
","TKO (knee injury)
","2
","2:00
","Mar 15, 2014",UFC 171
"Lightweight
","Myles Jury
","Diego Sanchez
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Mar 15, 2014",UFC 171
"Welterweight
","Hector Lombard
","Jake Shields
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Mar 15, 2014",UFC 171
"Light Heavyweight
","Ovince Saint Preux
","Nikita Krylov
","Technical Submission (Von Flue choke)
","1
","1:29
","Mar 15, 2014",UFC 171
"Welterweight
","Kelvin Gastelum
","Rick Story
","Decision (split) (28–29, 29–28, 30–27)
","3
","5:00
","Mar 15, 2014",UFC 171
"Women's Bantamweight
","Jéssica Andrade
","Raquel Pennington
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Mar 15, 2014",UFC 171
"Featherweight
","Dennis Bermudez
","Jimy Hettes
","TKO (punches and knee)
","3
","2:57
","Mar 15, 2014",UFC 171
"Welterweight
","Alex Garcia
","Sean Spencer
","Decision (split) (29–28, 28–29, 30–27)
","3
","5:00
","Mar 15, 2014",UFC 171
"Catchweight (157 lbs)
","Francisco Trevino
","Renee Forte
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 15, 2014",UFC 171
"Flyweight
","Justin Scoggins
","Will Campuzano
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 15, 2014",UFC 171
"Middleweight
","Sean Strickland
","Bubba McDaniel
","Submission (rear-naked choke)
","1
","4:33
","Mar 15, 2014",UFC 171
"Featherweight
","Rob Whiteford
","Daniel Pineda
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Mar 15, 2014",UFC 171
"Light Heavyweight
","Alexander Gustafsson
","Jimi Manuwa
","TKO (knee and punches)
","2
","1:18
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Lightweight
","Michael Johnson
","Melvin Guillard
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Flyweight
","Brad Pickett
","Neil Seery
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Welterweight
","Gunnar Nelson
","Omari Akhmedov
","Submission (guillotine choke)
","1
","4:36
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Light Heavyweight
","Ilir Latifi
","Cyrille Diabaté
","Submission (ninja choke)[13]
","1
","3:02
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Middleweight
","Luke Barnatt
","Mats Nilsson
","TKO (head kick and punches)
","1
","4:24
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Middleweight
","Cláudio Silva
","Brad Scott
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Welterweight
","Igor Araújo
","Danny Mitchell
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Flyweight
","Louis Gaudinot
","Phil Harris
","No Contest (overturned)
","1
","1:13
","Mar 8, 2014",UFC Fight Night: Gustafsson vs. Manuwa
"Welterweight
","Dong Hyun Kim
","John Hathaway
","KO (spinning back elbow)
","3
","1:02
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Welterweight
","Zhang Lipeng
","Wang Sai
","Decision (split) (29–28, 27–30, 29–28)
","3
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Heavyweight
","Matt Mitrione
","Shawn Jordan
","KO (punches)
","1
","4:59
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Featherweight
","Hatsu Hioki
","Ivan Menjivar
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Lightweight
","Yui Chul Nam
","Kazuki Tokudome
","Decision (split) (29–27, 27–28, 29–28)
","3
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Bantamweight
","Vaughan Lee
","Nam Phan
","Decision (unanimous) (30–27, 30–27, 30–26)
","3
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Welterweight
","Wang Anying
","Albert Cheng
","TKO (doctor stoppage)
","1
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Featherweight
","Mark Eddiva
","Jumabieke Tuerxun
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 1, 2014",The Ultimate Fighter: China#The Ultimate Fighter China Finale: Kim vs. Hathaway
"Women's Bantamweight
","Ronda Rousey (c)
","Sara McMann
","TKO (knee to the body)
","1
","1:06
","Feb 22, 2014",UFC 170
"Light Heavyweight
","Daniel Cormier
","Patrick Cummins
","TKO (punches)
","1
","1:19
","Feb 22, 2014",UFC 170
